N/A,30979.Bateria,30979.CHKSum,30979.LatG,30979.LatM,30979.LatP,30979.LatS,30979.LonG,30979.LonM,30979.LonP,30979.LonS,30979.TempInt
07/31/2015 08:00:00,11.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.400
08/04/2015 18:00:00,11.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.200
08/04/2015 19:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,30.600
08/04/2015 20:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,30.600
08/04/2015 22:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,30.600
08/05/2015 01:00:00,11.990,29349.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,29.300
08/05/2015 04:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,29.300
08/05/2015 05:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,28.000
08/05/2015 07:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,28.000
08/05/2015 08:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,28.000
08/05/2015 12:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,37.100
08/05/2015 15:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,39.700
08/05/2015 17:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,37.100
08/05/2015 19:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,34.500
08/05/2015 20:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,33.200
08/05/2015 21:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,31.900
08/06/2015 01:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,30.600
08/06/2015 03:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,29.300
08/06/2015 04:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,30.600
08/06/2015 06:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,30.600
08/06/2015 13:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,37.100
08/06/2015 16:00:00,11.990,29351.000,5.000,50.000,1.000,10.000,35.000,12.000,1.000,28.000,37.100
